polygonName,polygonPoints,description,size,JSON
Morovnianska 1,18.756791;48.736363;408-18.756934;48.736432;407-18.757483;48.736669;404-18.757521;48.736674;404-18.757502;48.736655;404-18.75725;48.736551;405-18.757132;48.73637;409-18.757231;48.736331;409-18.757271;48.736239;413-18.757006;48.736291;410-18.756802;48.736352;408,,591,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756791,48.736363,408], [18.756934,48.736432,407], [18.757483,48.736669,404], [18.757521,48.736674,404], [18.757502,48.736655,404], [18.75725,48.736551,405], [18.757132,48.73637,409], [18.757231,48.736331,409], [18.757271,48.736239,413], [18.757006,48.736291,410], [18.756802,48.736352,408] ]]}"
Morovnianska 13,18.756617;48.736114;410-18.756494;48.736216;409-18.756689;48.736322;408-18.756759;48.736314;408-18.756799;48.736262;409-18.756735;48.736153;411-18.756663;48.736179;410-18.756628;48.736124;410,,280,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756617,48.736114,410], [18.756494,48.736216,409], [18.756689,48.736322,408], [18.756759,48.736314,408], [18.756799,48.736262,409], [18.756735,48.736153,411], [18.756663,48.736179,410], [18.756628,48.736124,410] ]]}"
Morovnianska 11,18.757749;48.736269;415-18.757749;48.73625;417-18.757373;48.736229;416-18.757274;48.736237;413-18.757261;48.736273;413-18.757381;48.73626;414-18.757668;48.736269;415,,110,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.757749,48.736269,415], [18.757749,48.73625,417], [18.757373,48.736229,416], [18.757274,48.736237,413], [18.757261,48.736273,413], [18.757381,48.73626,414], [18.757668,48.736269,415] ]]}"
Morovnianska 9,18.757749;48.736305;415-18.757754;48.736328;415-18.758194;48.73634;414-18.75928;48.736344;407-18.759275;48.736317;412-18.758532;48.736317;413-18.758181;48.736322;415-18.757827;48.736308;415,,284,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.757749,48.736305,415], [18.757754,48.736328,415], [18.758194,48.73634,414], [18.75928,48.736344,407], [18.759275,48.736317,412], [18.758532,48.736317,413], [18.758181,48.736322,415], [18.757827,48.736308,415] ]]}"
Morovnianska 3,18.759291;48.736034;419-18.759197;48.7359;419-18.759077;48.735772;421-18.759039;48.735788;423-18.759117;48.735862;421-18.759197;48.735933;419-18.759259;48.736045;419,,81,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759291,48.736034,419], [18.759197,48.7359,419], [18.759077,48.735772,421], [18.759039,48.735788,423], [18.759117,48.735862,421], [18.759197,48.735933,419], [18.759259,48.736045,419] ]]}"
Morovnianska 15,18.759087;48.735852;421-18.759109;48.735862;421-18.758173;48.735862;423-18.757942;48.735864;423-18.757647;48.735859;424-18.75744;48.735843;424-18.757459;48.735795;424-18.757642;48.735797;424-18.757647;48.735841;424-18.757961;48.735855;423-18.757963;48.735809;424-18.758181;48.735806;424-18.758183;48.735841;423-18.758934;48.735843;423-18.759066;48.735836;423-18.759044;48.735788;423,,379,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759087,48.735852,421], [18.759109,48.735862,421], [18.758173,48.735862,423], [18.757942,48.735864,423], [18.757647,48.735859,424], [18.75744,48.735843,424], [18.757459,48.735795,424], [18.757642,48.735797,424], [18.757647,48.735841,424], [18.757961,48.735855,423], [18.757963,48.735809,424], [18.758181,48.735806,424], [18.758183,48.735841,423], [18.758934,48.735843,423], [18.759066,48.735836,423], [18.759044,48.735788,423] ]]}"
Morovnianska 1 - chodnicek,18.759366;48.736308;411-18.759573;48.73636;406-18.759747;48.736354;409-18.759991;48.736367;406-18.760158;48.736374;405-18.760246;48.736383;404-18.760292;48.736388;404-18.760286;48.736404;402-18.760222;48.736397;404-18.76016;48.736388;404-18.759986;48.736384;405-18.759739;48.736374;406-18.759559;48.736381;406-18.759337;48.736314;411,,140,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759366,48.736308,411], [18.759573,48.73636,406], [18.759747,48.736354,409], [18.759991,48.736367,406], [18.760158,48.736374,405], [18.760246,48.736383,404], [18.760292,48.736388,404], [18.760286,48.736404,402], [18.760222,48.736397,404], [18.76016,48.736388,404], [18.759986,48.736384,405], [18.759739,48.736374,406], [18.759559,48.736381,406], [18.759337,48.736314,411] ]]}"
Morovnianska 1 - chodnicek,18.759379;48.736286;411-18.75958;48.736333;410-18.759755;48.736321;409-18.759996;48.736337;406-18.760165;48.736342;405-18.760259;48.736358;404-18.760259;48.736339;404-18.760162;48.736316;405-18.760001;48.736316;406-18.75976;48.736303;409-18.759583;48.736312;410-18.759382;48.73627;411,,148,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759379,48.736286,411], [18.75958,48.736333,410], [18.759755,48.736321,409], [18.759996,48.736337,406], [18.760165,48.736342,405], [18.760259,48.736358,404], [18.760259,48.736339,404], [18.760162,48.736316,405], [18.760001,48.736316,406], [18.75976,48.736303,409], [18.759583,48.736312,410], [18.759382,48.73627,411] ]]}"
Morovnianska cesta 4,18.759679;48.736553;402-18.760227;48.736477;402-18.760557;48.73644;401-18.760527;48.736404;402-18.760377;48.736402;402-18.760369;48.736427;402-18.760229;48.736431;402-18.760221;48.736399;404-18.760154;48.736387;404-18.760079;48.736436;405-18.759862;48.736466;403-18.759763;48.736493;403-18.759701;48.736519;403,,390,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759679,48.736553,402], [18.760227,48.736477,402], [18.760557,48.73644,401], [18.760527,48.736404,402], [18.760377,48.736402,402], [18.760369,48.736427,402], [18.760229,48.736431,402], [18.760221,48.736399,404], [18.760154,48.736387,404], [18.760079,48.736436,405], [18.759862,48.736466,403], [18.759763,48.736493,403], [18.759701,48.736519,403] ]]}"
Morovnianska 39,18.756468;48.735169;431-18.756517;48.735033;433-18.756694;48.735029;435-18.75668;48.735218;431-18.756492;48.735169;431,,260,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756468,48.735169,431], [18.756517,48.735033,433], [18.756694,48.735029,435], [18.75668,48.735218,431], [18.756492,48.735169,431] ]]}"
Morovnianska 55,18.75532;48.734447;440-18.755417;48.734544;439-18.755607;48.734705;435-18.755704;48.734665;437-18.755755;48.734628;437-18.75572;48.734472;441-18.755361;48.734445;440,,523,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75532,48.734447,440], [18.755417,48.734544,439], [18.755607,48.734705,435], [18.755704,48.734665,437], [18.755755,48.734628,437], [18.75572,48.734472,441], [18.755361,48.734445,440] ]]}"
Prievidzska 29,18.760523;48.735853;403-18.760542;48.735842;403-18.760104;48.735437;403-18.760083;48.73545;403,,108,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760523,48.735853,403], [18.760542,48.735842,403], [18.760104,48.735437,403], [18.760083,48.73545,403] ]]}"
Morovnianska 31,18.758469;48.735351;426-18.758467;48.735392;426-18.758228;48.735387;427-18.757986;48.73539;429-18.757622;48.735385;430-18.757332;48.735387;431-18.756881;48.735378;431-18.756905;48.735356;431-18.757372;48.735369;431-18.757635;48.735362;430-18.758367;48.735369;427-18.758432;48.735372;427,,276,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758469,48.735351,426], [18.758467,48.735392,426], [18.758228,48.735387,427], [18.757986,48.73539,429], [18.757622,48.735385,430], [18.757332,48.735387,431], [18.756881,48.735378,431], [18.756905,48.735356,431], [18.757372,48.735369,431], [18.757635,48.735362,430], [18.758367,48.735369,427], [18.758432,48.735372,427] ]]}"
Morovnianska 43,18.75466;48.735367;420-18.754636;48.735381;419-18.754714;48.73544;419-18.754816;48.735401;418-18.755015;48.735332;420-18.755149;48.735284;422-18.755108;48.735236;422-18.755377;48.735171;422-18.755481;48.735144;425-18.755505;48.73516;422-18.755532;48.735151;422-18.755548;48.735112;425-18.755462;48.73513;424-18.755352;48.735153;422-18.755202;48.735188;423-18.755074;48.735227;422-18.755124;48.735277;422-18.754937;48.735339;420-18.7548;48.735385;418-18.754714;48.735424;419-18.754674;48.735385;419,,175,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75466,48.735367,420], [18.754636,48.735381,419], [18.754714,48.73544,419], [18.754816,48.735401,418], [18.755015,48.735332,420], [18.755149,48.735284,422], [18.755108,48.735236,422], [18.755377,48.735171,422], [18.755481,48.735144,425], [18.755505,48.73516,422], [18.755532,48.735151,422], [18.755548,48.735112,425], [18.755462,48.73513,424], [18.755352,48.735153,422], [18.755202,48.735188,423], [18.755074,48.735227,422], [18.755124,48.735277,422], [18.754937,48.735339,420], [18.7548,48.735385,418], [18.754714,48.735424,419], [18.754674,48.735385,419] ]]}"
Morovnianska 27,18.755677;48.735845;413-18.755688;48.735804;413-18.755411;48.735567;416-18.755548;48.73548;417-18.755521;48.735303;420-18.755409;48.735445;417-18.755277;48.735585;416-18.755267;48.735632;415-18.755184;48.735719;415-18.755344;48.735754;414-18.7555;48.735804;414-18.755621;48.735848;413-18.755653;48.735869;413,,784,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755677,48.735845,413], [18.755688,48.735804,413], [18.755411,48.735567,416], [18.755548,48.73548,417], [18.755521,48.735303,420], [18.755409,48.735445,417], [18.755277,48.735585,416], [18.755267,48.735632,415], [18.755184,48.735719,415], [18.755344,48.735754,414], [18.7555,48.735804,414], [18.755621,48.735848,413], [18.755653,48.735869,413] ]]}"
Morovnianska 27,18.755715;48.735891;412-18.755787;48.735627;415-18.755814;48.735625;415-18.75601;48.7355;419-18.756079;48.735496;419-18.756181;48.735544;421-18.756329;48.73545;424-18.756436;48.735328;428-18.756573;48.735376;429-18.756522;48.735528;425-18.756479;48.735666;420-18.75646;48.735754;418-18.75646;48.735979;414-18.756463;48.736191;410-18.75638;48.736167;410-18.75638;48.736177;410-18.756187;48.736099;410-18.756184;48.736055;411-18.756195;48.736045;411-18.756267;48.736078;411-18.756428;48.735928;413-18.755967;48.735728;415-18.755827;48.735878;413-18.756112;48.736009;411-18.756071;48.736038;411-18.75587;48.735956;412-18.755736;48.7359;412,,2520,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755715,48.735891,412], [18.755787,48.735627,415], [18.755814,48.735625,415], [18.75601,48.7355,419], [18.756079,48.735496,419], [18.756181,48.735544,421], [18.756329,48.73545,424], [18.756436,48.735328,428], [18.756573,48.735376,429], [18.756522,48.735528,425], [18.756479,48.735666,420], [18.75646,48.735754,418], [18.75646,48.735979,414], [18.756463,48.736191,410], [18.75638,48.736167,410], [18.75638,48.736177,410], [18.756187,48.736099,410], [18.756184,48.736055,411], [18.756195,48.736045,411], [18.756267,48.736078,411], [18.756428,48.735928,413], [18.755967,48.735728,415], [18.755827,48.735878,413], [18.756112,48.736009,411], [18.756071,48.736038,411], [18.75587,48.735956,412], [18.755736,48.7359,412] ]]}"
Morovnianska 25,18.757235;48.735717;425-18.757115;48.735627;426-18.756973;48.735521;428-18.756766;48.73544;429-18.756605;48.73539;427-18.756584;48.735463;427-18.756632;48.735491;425-18.75668;48.735597;424-18.756763;48.735578;424-18.756852;48.735631;425-18.756951;48.735677;423-18.757056;48.735705;424-18.757144;48.735728;424,,655,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.757235,48.735717,425], [18.757115,48.735627,426], [18.756973,48.735521,428], [18.756766,48.73544,429], [18.756605,48.73539,427], [18.756584,48.735463,427], [18.756632,48.735491,425], [18.75668,48.735597,424], [18.756763,48.735578,424], [18.756852,48.735631,425], [18.756951,48.735677,423], [18.757056,48.735705,424], [18.757144,48.735728,424] ]]}"
Morovnianska 27,18.755562;48.735116;425-18.755559;48.735135;425-18.755688;48.735121;425-18.755913;48.735151;427-18.756203;48.735252;427-18.756423;48.735351;428-18.756436;48.735328;428-18.756181;48.73522;427-18.755975;48.735149;427-18.755696;48.735102;425-18.755564;48.735112;425,,153,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755562,48.735116,425], [18.755559,48.735135,425], [18.755688,48.735121,425], [18.755913,48.735151,427], [18.756203,48.735252,427], [18.756423,48.735351,428], [18.756436,48.735328,428], [18.756181,48.73522,427], [18.755975,48.735149,427], [18.755696,48.735102,425], [18.755564,48.735112,425] ]]}"
Morovnianska 39,18.755929;48.735098;427-18.756109;48.73516;428-18.756315;48.735234;428-18.756597;48.735348;429-18.756659;48.735254;431-18.756474;48.735206;430-18.756173;48.735137;430-18.755959;48.735103;427,,340,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755929,48.735098,427], [18.756109,48.73516,428], [18.756315,48.735234,428], [18.756597,48.735348,429], [18.756659,48.735254,431], [18.756474,48.735206,430], [18.756173,48.735137,430], [18.755959,48.735103,427] ]]}"
Morovnianska 39,18.756884;48.735372;431-18.756892;48.735302;431-18.756779;48.7353;431-18.756686;48.735277;431-18.756691;48.735264;431-18.756793;48.735286;431-18.756919;48.735291;431-18.756911;48.735355;431,,39,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756884,48.735372,431], [18.756892,48.735302,431], [18.756779,48.7353,431], [18.756686,48.735277,431], [18.756691,48.735264,431], [18.756793,48.735286,431], [18.756919,48.735291,431], [18.756911,48.735355,431] ]]}"
Morovnianska 43,18.754803;48.734897;427-18.754548;48.73481;429-18.754419;48.73475;429-18.754408;48.734707;431-18.754194;48.735043;426-18.754253;48.735045;425-18.754288;48.73507;425-18.754078;48.735187;425-18.754151;48.735201;424-18.753808;48.735394;424-18.753716;48.735381;425-18.753655;48.735413;424-18.753665;48.735487;424-18.753684;48.73553;422-18.753714;48.735542;422-18.75374;48.735542;422-18.753735;48.735498;424-18.754116;48.735486;421-18.754119;48.73553;420-18.754132;48.73553;420-18.754129;48.735332;423-18.754446;48.735167;423-18.754666;48.735049;423-18.754677;48.735061;423-18.754765;48.735013;425,,2181,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754803,48.734897,427], [18.754548,48.73481,429], [18.754419,48.73475,429], [18.754408,48.734707,431], [18.754194,48.735043,426], [18.754253,48.735045,425], [18.754288,48.73507,425], [18.754078,48.735187,425], [18.754151,48.735201,424], [18.753808,48.735394,424], [18.753716,48.735381,425], [18.753655,48.735413,424], [18.753665,48.735487,424], [18.753684,48.73553,422], [18.753714,48.735542,422], [18.75374,48.735542,422], [18.753735,48.735498,424], [18.754116,48.735486,421], [18.754119,48.73553,420], [18.754132,48.73553,420], [18.754129,48.735332,423], [18.754446,48.735167,423], [18.754666,48.735049,423], [18.754677,48.735061,423], [18.754765,48.735013,425] ]]}"
Prievidzska 29,18.759895;48.735492;405-18.75993;48.735478;404-18.760024;48.735595;404-18.760056;48.735653;404-18.760005;48.735662;405-18.759895;48.73554;405-18.759895;48.735517;405,,100,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759895,48.735492,405], [18.75993,48.735478,404], [18.760024,48.735595,404], [18.760056,48.735653,404], [18.760005,48.735662,405], [18.759895,48.73554,405], [18.759895,48.735517,405] ]]}"
Svermova 3,18.759503;48.72899;423-18.759699;48.728971;422-18.759696;48.728962;422-18.759677;48.728959;422-18.759661;48.728898;422-18.759471;48.728914;424-18.759487;48.728957;423,,119,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759503,48.72899,423], [18.759699,48.728971,422], [18.759696,48.728962,422], [18.759677,48.728959,422], [18.759661,48.728898,422], [18.759471,48.728914,424], [18.759487,48.728957,423] ]]}"
Morovnianska vencovisko,18.752603;48.734961;436-18.752404;48.735073;435-18.752187;48.735165;435-18.752034;48.735234;436-18.751886;48.735327;434-18.751806;48.735435;433-18.751779;48.735557;432-18.751752;48.73563;432-18.751602;48.735747;433-18.751573;48.735789;433-18.751594;48.735789;433-18.751626;48.735747;433-18.751768;48.735637;432-18.751803;48.735552;432-18.751843;48.73544;433-18.751902;48.735352;433-18.752053;48.735255;433-18.752195;48.735186;434-18.752417;48.73509;434-18.752629;48.734977;435,,268,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752603,48.734961,436], [18.752404,48.735073,435], [18.752187,48.735165,435], [18.752034,48.735234,436], [18.751886,48.735327,434], [18.751806,48.735435,433], [18.751779,48.735557,432], [18.751752,48.73563,432], [18.751602,48.735747,433], [18.751573,48.735789,433], [18.751594,48.735789,433], [18.751626,48.735747,433], [18.751768,48.735637,432], [18.751803,48.735552,432], [18.751843,48.73544,433], [18.751902,48.735352,433], [18.752053,48.735255,433], [18.752195,48.735186,434], [18.752417,48.73509,434], [18.752629,48.734977,435] ]]}"
Morovnianska konecna,18.751583;48.73584;433-18.751929;48.735824;431-18.751763;48.735874;431-18.751758;48.735865;431-18.75168;48.7359;432-18.751699;48.73592;431-18.751637;48.735966;432-18.751597;48.736015;432-18.751567;48.735968;432-18.751567;48.735899;432-18.751567;48.735862;432,,188,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751583,48.73584,433], [18.751929,48.735824,431], [18.751763,48.735874,431], [18.751758,48.735865,431], [18.75168,48.7359,432], [18.751699,48.73592,431], [18.751637,48.735966,432], [18.751597,48.736015,432], [18.751567,48.735968,432], [18.751567,48.735899,432], [18.751567,48.735862,432] ]]}"
Morovnianska zastavka,18.751937;48.735824;431-18.75234;48.735704;428-18.752723;48.735621;425-18.752954;48.73557;424-18.752938;48.735561;424-18.75271;48.735603;425-18.752318;48.735685;427-18.751892;48.735817;431,,181,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751937,48.735824,431], [18.75234,48.735704,428], [18.752723,48.735621,425], [18.752954,48.73557,424], [18.752938,48.735561,424], [18.75271,48.735603,425], [18.752318,48.735685,427], [18.751892,48.735817,431] ]]}"
Prievidzska 35,18.760896;48.736405;401-18.761167;48.736377;400-18.761207;48.736366;399-18.761236;48.736332;399-18.761228;48.736286;399-18.761215;48.736216;399-18.761172;48.736235;401-18.761057;48.736308;400-18.76089;48.736332;402,,270,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760896,48.736405,401], [18.761167,48.736377,400], [18.761207,48.736366,399], [18.761236,48.736332,399], [18.761228,48.736286,399], [18.761215,48.736216,399], [18.761172,48.736235,401], [18.761057,48.736308,400], [18.76089,48.736332,402] ]]}"
